source_id,research_id,variant_index,variant_count,source_file,source_entry,variant_label,formula_or_construction,data_requirement,inventory_data_route,formula_audit_status,formula_audit_reason,static_reuse_evidence,semantic_class,include_in_j_baseline_if_submitted,future_information_check,static_duplicate_of,post_static_decision
CJ-G001-V01,CHANGJIANG-G001,1,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 01/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G001-V02,CHANGJIANG-G001,2,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 02/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G001-V03,CHANGJIANG-G001,3,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 03/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G001-V04,CHANGJIANG-G001,4,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 04/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G001-V05,CHANGJIANG-G001,5,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 05/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G001-V06,CHANGJIANG-G001,6,6,长江__流动性溢价因子__18项全量清单.md,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m`,`10亿×10m`、`10亿×30m`、`100亿×10m`、`100亿×30m`、`1000亿×10m`、`1000亿×30m` :: variant 06/06,\(LP=\frac{\sum_{21}C^{need}-\sum_{21}C^{actual}}{\sum_{21}C^{actual}}\)。需求侧冲击成本高于实际均价越多，流动性溢价越高,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G002-V01,CHANGJIANG-G002,1,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 01/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G002-V02,CHANGJIANG-G002,2,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 02/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G002-V03,CHANGJIANG-G002,3,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 03/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
CJ-G002-V04,CHANGJIANG-G002,4,6,长江__流动性溢价因子__18项全量清单.md,上述 6 个参数各一项,上述 6 个参数各一项 :: variant 04/06,\(LP_T=\frac{\sum w_tC^{need}_t}{\sum w_tC^{actual}_t}-1\)，\(w_t\) 为半衰期 21 日指数权重；近期流动性更重要,derivable / extend_daily_aggregation,LOCAL_CONSTRUCTIBLE,BLOCKED_FORMULA_UNDERDETERMINED,报告清单不足以唯一冻结权重、窗口、归一化或被损坏的公式。,,LATENT_COMPONENT,True,PASS_BY_CONSTRUCTION: only same-day intraday inputs; published daily value is lagged by the repository loader,,BLOCKED_FORMULA_UNDERDETERMINED
