screen_id,oap_acronym,oap_data_category,proposed_family,priority,implementation_fidelity,existing_data_reuse,public_factor_overlap,decision,reason
OAP-A01,AssetGrowth,Accounting,FR,A,exact,FR total_assets,low,implemented,Annual total-asset growth is directly available with PIT disclosure timing and is not present as a level in the public library
OAP-A02,cfp,Accounting,FR,A,near_exact,FR net_cffoa plus exposure float_market_cap,medium,implemented,Operating cash flow to market can be reconstructed but must be compared with PE PB and profitability controls
OAP-A03,EarningsSurprise,Accounting,FR,A,adapted,FR net_profit history,medium,implemented,Use PIT TTM profit change surprise because quarterly EPS and share-count fields are not in the current contract
OAP-A04,RevenueSurprise,Accounting,FR,A,adapted,FR operating_revenue history,low,implemented,Use PIT TTM year-over-year revenue growth because revenue-per-share and the original historical standardization are unavailable
OAP-A05,NumEarnIncrease,Accounting,FR,A,adapted,FR net_profit history,low,implemented,Count consecutive PIT TTM profit increases instead of quarterly per-share increases
OAP-A06,MaxRet,Price,PV,A,exact,PV daily close and pre_close,medium,implemented,Previous-month maximum daily return is directly computable and differs from five-day volatility
OAP-A07,ReturnSkew,Price,PV,A,exact,PV daily close and pre_close,low,implemented,Previous-month daily-return skewness is directly computable and absent from the public library
OAP-A08,High52,Price,PV,A,exact,PV daily close with 2019 natural warmup,medium,implemented,Distance to the trailing 52-week high uses the full window and starts after natural warmup
OAP-A09,Illiquidity,Trading,PV,A,near_exact,PV daily return and amount,medium,implemented,Amihud-style absolute return per amount is directly computable with A-share amount
OAP-A10,BidAskSpread,Trading,PV,A,exact,PV daily high and low,low,implemented,Corwin-Schultz high-low spread estimator needs no quote data and is distinct from the OB snapshot spread
OAP-A11,PriceDelayRsq,Price,PV,A,adapted,PV returns plus universe market return with 2019 natural warmup,low,implemented,A-share implementation uses current and lagged market correlation shares as an explicit delay approximation
OAP-A12,CoskewACX,Price,PV,A,near_exact,PV returns plus universe market return with 2019 natural warmup,low,implemented,Coskewness keeps its past-year window and starts after natural warmup
OAP-A13,zerotrade1M,Trading,PV,A,adapted,PV volume and deal_number plus universe trading state,low,implemented,Use stock-pool trading days with zero volume or zero deals while separating suspensions and missing records
OAP-A14,IntMom,Price,PV,A,exact,PV daily close with 2019 natural warmup,medium,implemented,Return from months t-12 to t-6 differs from public five-day momentum
OAP-A15,IndMom,Price,PV,A,near_exact,PV returns plus exposure industry_level1_code with natural warmup,low,implemented,Industry momentum keeps the six-month window but fails the daily unique-value technical gate
OAP-B01,EarningsConsistency,Accounting,FR,B,adapted,FR net_profit history,medium,implemented,TTM earnings consistency uses 16 quarterly disclosures to preserve the intended 48-month horizon
OAP-B02,MeanRankRevGrowth,Accounting,FR,B,near_exact,FR operating_revenue history,low,implemented,Five-year revenue-growth ranks become effective only after the report cohort is disclosed
OAP-B03,AbnormalAccruals,Accounting,FR,B,proxy,FR net_cffoa net_profit total_assets,high,implemented,The available proxy is negative cash accruals scaled by assets because PPE and the original regression are unavailable
OAP-B04,AM,Accounting,FR,B,exact,FR total_assets plus exposure float_market_cap,high,implemented,Assets-to-market is implemented and tested against the screened public controls
OAP-B05,Mom12m,Price,PV,B,exact,PV daily close,medium,implemented,Twelve-to-one-month momentum is tested against IntMom and public momentum controls
OAP-B06,RealizedVol,Price,PV,B,near_exact,PV returns plus universe market return,high,implemented,Past-month CAPM residual volatility is implemented with the registered negative direction
OAP-B07,VolSD,Trading,PV,B,near_exact,PV daily volume aggregated monthly,medium,implemented,The original 36-month window and 24-month minimum are preserved
OAP-B08,std_turn,Trading,PV,B,near_exact,local screened15 turn history,high,implemented,The original 36-month turnover-volatility window is preserved despite public-input overlap
OAP-B09,VolumeTrend,Trading,PV,B,adapted,PV daily volume aggregated monthly,medium,implemented,The original 60-month trend window and 30-month minimum are preserved
OAP-B10,LRreversal,Price,PV,B,exact,PV daily close,medium,implemented,The 36-to-13-month return is implemented and explicitly fails S when no development observations exist
OAP-B11,ResidualMomentum,Price,PV,B,proxy,PV returns plus internal market return,medium,implemented,The local proxy uses CAPM residual momentum because FF3 factors are unavailable
OAP-C01,ChAssetTurnover,Accounting,FR,C,exact,FR operating_revenue and total_assets,very_high,covered_existing,Existing FR-002 already implements the change in asset-turnover mechanism
OAP-C02,roaq,Accounting,FR,C,near_exact,FR net_profit and total_assets,very_high,covered_existing,Public roa_avg_ttm and FR-002 already cover the underlying profitability level and change
OAP-C03,STreversal,Price,PV,C,exact,PV daily close,very_high,covered_existing,Public reversal_5 and daily_return already represent short-horizon reversal
OAP-C04,EP,Accounting,composite,C,exact,FR net_profit plus factorlib market_cap,very_high,covered_existing,Public pe_ttm already contains the inverse valuation information
OAP-C05,BM,Accounting,composite,C,proxy,factorlib pb,very_high,covered_existing,Public pb directly covers book-to-market ranking
OAP-C06,SP,Accounting,composite,C,exact,FR operating_revenue plus factorlib market_cap,very_high,covered_existing,Public ps_ttm directly covers sales-to-price
OAP-C07,Beta,Price,PV,C,near_exact,PV returns plus market return,very_high,covered_existing,Public beta_000300SH_22 already supplies a beta feature
OAP-C08,DolVol,Trading,PV,C,near_exact,PV amount,very_high,covered_existing,Public amount and existing PV activity components already cover dollar-volume level
